"","x"
"1",2
"2",1
"3",1
"4",2
"5",1
"6",2
"7",2
"8",1
"9",2
"10",1
"11",2
"12",1
"13",2
"14",1
"15",2
"16",1
"17",1
"18",2
"19",1
"20",2
"21",2
"22",2
"23",2
"24",1
"25",2
"26",2
"27",2
"28",1
"29",1
"30",2
"31",2
"32",1
"33",2
"34",1
"35",1
"36",2
"37",1
"38",1
"39",2
"40",2
"41",2
"42",2
"43",1
"44",1
"45",1
"46",1
"47",2
"48",1
"49",1
"50",1
"51",1
"52",1
"53",2
"54",1
"55",2
"56",2
"57",2
"58",1
"59",2
"60",1
"61",1
"62",1
"63",1
"64",1
"65",2
"66",1
"67",2
"68",2
"69",1
"70",1
"71",1
"72",1
"73",2
"74",1
"75",2
"76",2
"77",1
"78",1
"79",2
"80",2
"81",1
"82",2
"83",1
"84",1
"85",2
"86",2
"87",1
"88",2
"89",2
"90",2
"91",1
"92",2
"93",2
"94",1
"95",2
"96",1
"97",2
"98",1
"99",2
"100",2
"101",1
"102",1
"103",2
"104",2
"105",1
"106",2
"107",1
"108",2
"109",2
"110",1
"111",1
"112",1
"113",2
"114",1
"115",2
"116",1
"117",2
"118",1
"119",2
"120",1
"121",2
"122",1
"123",2
"124",1
"125",2
"126",2
"127",1
"128",1
"129",1
"130",1
"131",1
"132",2
"133",2
"134",1
"135",2
"136",2
"137",1
"138",2
"139",1
"140",2
"141",1
"142",1
"143",2
"144",1
"145",2
"146",2
"147",2
"148",2
"149",2
"150",1
"151",2
"152",1
"153",2
"154",1
"155",2
"156",1
"157",2
"158",2
"159",1
"160",2
"161",2
"162",1
"163",2
"164",2
"165",1
"166",1
"167",2
"168",1
"169",2
"170",1
"171",2
"172",2
"173",1
"174",2
"175",2
"176",1
"177",1
"178",1
"179",1
"180",2
"181",1
"182",1
"183",1
"184",2
"185",2
"186",2
"187",2
"188",2
"189",1
"190",1
"191",1
"192",1
"193",2
"194",1
"195",1
"196",1
"197",1
"198",2
"199",2
"200",2
"201",1
"202",2
"203",1
"204",1
"205",2
"206",2
"207",2
"208",1
"209",2
"210",1
"211",2
"212",2
"213",1
"214",1
"215",1
"216",2
"217",1
"218",1
"219",2
"220",1
"221",2
"222",1
"223",1
"224",1
"225",1
"226",1
"227",2
"228",1
"229",2
"230",1
"231",2
"232",1
"233",2
"234",2
"235",2
"236",1
"237",2
"238",2
"239",1
"240",2
"241",1
"242",2
"243",2
"244",2
"245",2
"246",1
"247",2
"248",1
"249",2
"250",1
"251",1
"252",1
"253",2
"254",2
"255",2
"256",1
"257",1
"258",2
"259",2
"260",2
"261",1
"262",1
"263",2
"264",1
"265",1
"266",2
"267",1
"268",2
"269",1
"270",1
"271",2
"272",1
"273",2
"274",1
"275",2
"276",2
"277",2
"278",1
"279",1
"280",2
"281",1
"282",1
"283",2
"284",1
"285",1
"286",2
"287",1
"288",2
"289",1
"290",2
"291",1
"292",2
"293",2
"294",2
"295",2
"296",1
"297",2
"298",1
"299",1
"300",2
"301",1
"302",1
"303",2
"304",1
"305",2
"306",2
"307",1
"308",1
"309",1
"310",1
"311",1
"312",2
"313",2
"314",1
"315",1
"316",1
"317",2
"318",1
"319",2
"320",2
"321",2
"322",2
"323",1
"324",1
"325",1
"326",1
"327",2
"328",2
"329",1
"330",2
"331",1
"332",2
"333",2
"334",1
"335",2
"336",1
"337",2
"338",2
"339",1
"340",1
"341",2
"342",2
"343",2
"344",2
"345",1
"346",2
"347",1
"348",2
"349",1
"350",2
"351",2
"352",1
"353",2
"354",1
"355",2
"356",2
"357",2
"358",2
"359",2
"360",1
"361",2
"362",1
"363",1
"364",2
"365",1
"366",1
"367",2
"368",2
"369",1
"370",1
"371",1
"372",1
"373",1
"374",2
"375",1
"376",2
"377",1
"378",2
"379",2
"380",1
"381",1
"382",1
"383",2
"384",2
"385",2
"386",1
"387",2
"388",2
"389",1
"390",1
"391",1
"392",2
"393",2
"394",2
"395",1
"396",2
"397",1
"398",2
"399",1
"400",1
