"","x"
"1",1
"2",1
"3",2
"4",2
"5",1
"6",2
"7",1
"8",1
"9",1
"10",1
"11",2
"12",1
"13",1
"14",1
"15",2
"16",2
"17",2
"18",1
"19",1
"20",1
"21",1
"22",1
"23",2
"24",2
"25",1
"26",1
"27",1
"28",2
"29",2
"30",1
"31",2
"32",1
"33",2
"34",1
"35",1
"36",1
"37",2
"38",2
"39",2
"40",1
"41",1
"42",2
"43",2
"44",1
"45",2
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",2
"55",1
"56",1
"57",2
"58",2
"59",1
"60",2
"61",2
"62",1
"63",2
"64",1
"65",2
"66",2
"67",1
"68",1
"69",2
"70",2
"71",2
"72",2
"73",1
"74",2
"75",2
"76",1
"77",2
"78",1
"79",2
"80",1
"81",1
"82",1
"83",1
"84",2
"85",2
"86",1
"87",2
"88",1
"89",2
"90",2
"91",2
"92",2
"93",1
"94",1
"95",2
"96",2
"97",1
"98",1
"99",1
"100",2
"101",1
"102",2
"103",1
"104",2
"105",1
"106",1
"107",2
"108",2
"109",2
"110",1
"111",2
"112",1
"113",1
"114",1
"115",1
"116",2
"117",1
"118",1
"119",2
"120",1
"121",2
"122",1
"123",1
"124",2
"125",2
"126",1
"127",2
"128",2
"129",1
"130",2
"131",1
"132",1
"133",2
"134",2
"135",2
"136",1
"137",2
"138",2
"139",2
"140",1
"141",2
"142",2
"143",2
"144",1
"145",2
"146",2
"147",1
"148",2
"149",1
"150",2
"151",2
"152",1
"153",2
"154",2
"155",2
"156",1
"157",2
"158",2
"159",1
"160",1
"161",1
"162",2
"163",2
"164",2
"165",2
"166",1
"167",1
"168",1
"169",1
"170",1
"171",2
"172",2
"173",1
"174",2
"175",1
"176",1
"177",1
"178",1
"179",1
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",1
"187",2
"188",1
"189",2
"190",2
"191",2
"192",2
"193",1
"194",1
"195",1
"196",2
"197",1
"198",1
"199",2
"200",2
"201",1
"202",2
"203",2
"204",1
"205",2
"206",1
"207",2
"208",1
"209",1
"210",2
"211",2
"212",1
"213",2
"214",2
"215",1
"216",1
"217",2
"218",2
"219",2
"220",1
"221",2
"222",1
"223",1
"224",2
"225",2
"226",1
"227",1
"228",2
"229",2
"230",2
"231",2
"232",2
"233",2
"234",2
"235",2
"236",2
"237",2
"238",1
"239",1
"240",2
"241",1
"242",1
"243",2
"244",1
"245",2
"246",2
"247",2
"248",1
"249",1
"250",1
"251",2
"252",2
"253",1
"254",2
"255",1
"256",1
"257",1
"258",1
"259",2
"260",2
"261",1
"262",1
"263",1
"264",2
"265",1
"266",2
"267",1
"268",1
"269",2
"270",2
"271",1
"272",1
"273",1
"274",1
"275",1
"276",2
"277",2
"278",2
"279",2
"280",2
"281",1
"282",2
"283",2
"284",2
"285",1
"286",1
"287",1
"288",2
"289",2
"290",2
"291",2
"292",2
"293",1
"294",1
"295",2
"296",1
"297",1
"298",1
"299",1
"300",2
"301",2
"302",2
"303",1
"304",1
"305",2
"306",2
"307",2
"308",2
"309",2
"310",2
"311",1
"312",2
"313",1
"314",2
"315",1
"316",2
"317",1
"318",1
"319",2
"320",1
"321",2
"322",1
"323",2
"324",1
"325",2
"326",2
"327",1
"328",1
"329",2
"330",2
"331",2
"332",1
"333",1
"334",2
"335",2
"336",2
"337",1
"338",2
"339",1
"340",1
"341",2
"342",1
"343",2
"344",1
"345",1
"346",1
"347",1
"348",1
"349",2
"350",2
"351",1
"352",2
"353",2
"354",1
"355",1
"356",2
"357",2
"358",1
"359",1
"360",1
"361",1
"362",2
"363",1
"364",2
"365",1
"366",2
"367",1
"368",2
"369",2
"370",2
"371",1
"372",1
"373",2
"374",2
"375",2
"376",1
"377",2
"378",1
"379",2
"380",2
"381",2
"382",1
"383",2
"384",2
"385",2
"386",1
"387",2
"388",2
"389",1
"390",2
"391",1
"392",1
"393",2
"394",1
"395",2
"396",2
"397",1
"398",1
"399",2
"400",2
"401",2
"402",2
"403",2
"404",2
"405",1
"406",2
"407",1
"408",1
"409",1
"410",2
"411",2
"412",1
"413",1
"414",2
"415",1
"416",2
"417",1
"418",1
"419",1
"420",2
"421",1
"422",2
"423",1
"424",1
"425",2
"426",2
"427",2
"428",2
"429",2
"430",2
"431",1
"432",1
"433",2
"434",2
"435",1
"436",2
"437",2
"438",1
"439",1
"440",2
"441",2
"442",2
"443",1
"444",1
"445",2
"446",1
"447",1
"448",1
"449",1
"450",2
"451",1
"452",2
"453",1
"454",1
"455",2
"456",1
"457",2
"458",1
"459",2
"460",1
"461",2
"462",1
"463",1
"464",1
"465",2
"466",1
"467",2
"468",2
"469",1
"470",2
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",2
"480",2
"481",2
