"","x"
"1",5
"2",5
"3",4
"4",1
"5",2
"6",1
"7",2
"8",5
"9",5
"10",5
"11",6
"12",1
"13",3
"14",5
"15",5
"16",4
"17",1
"18",5
"19",2
"20",1
"21",2
"22",1
"23",6
"24",5
"25",2
"26",1
"27",3
"28",4
"29",5
"30",5
"31",2
"32",3
"33",4
"34",1
"35",1
"36",2
"37",4
"38",3
"39",6
"40",2
"41",6
"42",6
"43",2
"44",3
"45",3
"46",6
"47",3
"48",4
"49",3
"50",2
"51",4
"52",6
"53",6
"54",4
"55",3
"56",2
"57",2
"58",2
"59",2
"60",1
"61",5
"62",6
"63",3
"64",2
"65",6
"66",6
"67",4
"68",2
"69",3
"70",4
"71",3
"72",3
"73",2
"74",6
"75",1
"76",4
"77",6
"78",4
"79",5
"80",3
"81",2
"82",3
"83",4
"84",4
"85",6
"86",5
"87",3
"88",4
"89",5
"90",5
"91",6
"92",3
"93",6
"94",2
"95",6
"96",5
"97",4
"98",5
"99",3
"100",3
"101",2
"102",4
"103",3
"104",5
"105",2
"106",6
"107",4
"108",1
"109",4
"110",3
"111",3
"112",3
"113",3
"114",6
"115",6
"116",3
"117",2
"118",2
"119",6
"120",6
"121",4
"122",4
"123",6
"124",4
"125",6
"126",2
"127",3
"128",3
"129",5
"130",4
"131",1
"132",3
"133",6
"134",3
"135",4
"136",1
"137",2
"138",1
"139",5
"140",1
"141",5
"142",3
"143",4
"144",6
"145",2
"146",2
"147",6
"148",1
"149",3
"150",2
"151",1
"152",1
"153",4
"154",6
"155",3
"156",3
"157",1
"158",1
"159",2
"160",4
"161",1
"162",6
"163",5
"164",5
"165",4
"166",4
"167",4
"168",5
"169",2
"170",4
"171",6
"172",3
"173",4
"174",3
"175",2
"176",6
"177",5
"178",5
"179",5
"180",6
"181",1
"182",4
"183",5
"184",2
"185",5
"186",5
"187",5
"188",5
"189",2
"190",3
"191",4
"192",2
"193",1
"194",2
"195",5
"196",1
"197",5
"198",3
"199",3
"200",2
"201",3
"202",5
"203",4
"204",5
"205",5
"206",2
"207",6
"208",3
"209",4
"210",1
"211",5
"212",2
"213",2
"214",1
"215",4
"216",3
"217",6
"218",1
"219",2
"220",6
"221",2
"222",4
"223",3
"224",3
"225",6
"226",2
"227",1
"228",1
"229",2
"230",1
"231",6
"232",2
"233",2
"234",6
"235",4
"236",5
"237",1
"238",6
"239",4
"240",1
"241",6
"242",5
"243",1
"244",6
"245",4
"246",1
"247",1
"248",1
"249",2
"250",3
"251",1
"252",6
"253",1
"254",3
"255",3
"256",5
"257",2
"258",4
"259",6
"260",5
"261",6
"262",6
"263",6
"264",1
"265",2
"266",3
"267",6
"268",5
"269",5
"270",6
"271",5
"272",2
"273",1
"274",5
"275",5
"276",3
"277",5
"278",2
"279",4
"280",3
"281",5
"282",5
"283",4
"284",3
"285",5
"286",3
"287",2
"288",6
"289",1
"290",5
"291",5
"292",1
"293",2
"294",5
"295",5
"296",4
"297",4
"298",4
"299",5
"300",2
"301",6
"302",1
"303",1
"304",1
"305",3
"306",2
"307",3
"308",1
"309",3
"310",3
"311",5
"312",3
"313",1
"314",6
"315",2
"316",1
"317",6
"318",6
"319",3
"320",2
"321",5
"322",3
"323",2
"324",6
"325",6
"326",1
"327",3
"328",6
"329",6
"330",3
"331",5
"332",5
"333",6
"334",1
"335",2
"336",3
"337",5
"338",5
"339",2
"340",5
"341",2
"342",6
"343",4
"344",1
"345",1
"346",1
"347",1
"348",3
"349",6
"350",5
"351",3
"352",5
"353",6
"354",6
"355",2
"356",4
"357",1
"358",2
"359",4
"360",1
"361",2
"362",3
"363",3
"364",3
"365",6
"366",1
"367",5
"368",2
"369",3
"370",6
"371",6
"372",2
"373",4
"374",1
"375",5
"376",6
"377",5
"378",1
"379",4
"380",2
"381",5
"382",2
"383",1
"384",1
"385",5
"386",3
"387",5
"388",6
"389",3
"390",2
"391",3
"392",6
"393",5
"394",4
"395",2
"396",2
"397",3
"398",1
"399",4
"400",3
"401",6
"402",2
"403",2
"404",1
"405",3
"406",6
"407",5
"408",6
"409",6
"410",4
"411",1
"412",5
"413",1
"414",5
"415",4
"416",4
"417",4
"418",3
"419",5
"420",3
"421",5
"422",4
"423",4
"424",2
"425",1
"426",5
"427",3
"428",4
"429",5
"430",3
"431",4
"432",6
"433",6
"434",1
"435",4
"436",3
"437",2
"438",5
"439",6
"440",5
"441",2
"442",1
"443",4
"444",6
"445",3
"446",4
"447",4
"448",4
"449",2
"450",1
"451",6
"452",3
"453",2
"454",1
"455",5
"456",4
"457",3
"458",3
"459",5
"460",5
"461",3
"462",3
"463",1
"464",5
"465",1
"466",2
"467",2
"468",2
"469",1
"470",4
"471",6
"472",2
"473",6
"474",2
"475",5
"476",4
"477",3
"478",6
"479",5
"480",5
"481",2
"482",4
"483",5
"484",3
"485",2
"486",4
"487",3
"488",3
"489",1
"490",1
"491",3
"492",2
"493",4
"494",6
"495",2
"496",1
"497",4
"498",3
"499",3
"500",6
"501",5
"502",4
"503",4
"504",2
"505",2
"506",1
"507",1
"508",3
"509",1
"510",2
"511",5
"512",5
"513",6
"514",4
