"","x"
"1",1
"2",1
"3",2
"4",2
"5",1
"6",1
"7",2
"8",2
"9",1
"10",2
"11",2
"12",1
"13",2
"14",1
"15",1
"16",2
"17",2
"18",1
"19",1
"20",1
"21",1
"22",2
"23",1
"24",2
"25",1
"26",2
"27",2
"28",2
"29",1
"30",2
"31",1
"32",2
"33",1
"34",1
"35",1
"36",2
"37",1
"38",2
"39",1
"40",2
"41",1
"42",1
"43",1
"44",2
"45",2
"46",1
"47",2
"48",1
"49",1
"50",1
"51",1
"52",2
"53",2
"54",2
"55",2
"56",1
"57",2
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",1
"66",2
"67",1
"68",2
"69",1
"70",1
"71",2
"72",2
"73",2
"74",1
"75",1
"76",2
"77",1
"78",1
"79",2
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",2
"90",1
"91",2
"92",1
"93",1
"94",1
"95",1
"96",2
"97",2
"98",1
"99",1
"100",2
"101",1
"102",2
"103",2
"104",2
"105",2
"106",1
"107",1
"108",1
"109",1
"110",2
"111",2
"112",1
"113",2
"114",1
"115",2
"116",1
"117",2
"118",1
"119",2
"120",1
"121",2
"122",1
"123",1
"124",2
"125",1
"126",1
"127",1
"128",2
"129",2
"130",2
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",2
"138",1
"139",2
"140",2
"141",2
"142",1
"143",2
"144",1
"145",2
"146",2
"147",2
"148",2
"149",2
"150",1
"151",2
"152",2
"153",1
"154",2
"155",2
"156",1
"157",2
"158",1
"159",2
"160",2
"161",2
"162",1
"163",2
"164",1
"165",2
"166",2
"167",2
"168",1
"169",2
"170",1
"171",1
"172",1
"173",1
"174",2
"175",1
"176",1
"177",2
"178",1
"179",2
"180",1
"181",2
"182",1
"183",1
"184",1
"185",2
"186",1
"187",1
"188",2
"189",1
"190",2
"191",2
"192",2
"193",1
"194",1
"195",2
"196",1
"197",1
"198",2
"199",2
"200",1
"201",1
"202",1
"203",2
"204",1
"205",2
"206",1
"207",1
"208",1
"209",1
"210",1
"211",2
"212",2
"213",2
"214",1
"215",2
"216",1
"217",2
"218",2
"219",1
"220",1
"221",1
"222",2
"223",1
"224",2
"225",1
"226",2
"227",2
"228",2
"229",1
"230",1
"231",2
"232",1
"233",1
"234",1
"235",1
"236",2
"237",1
"238",1
"239",1
"240",1
"241",2
"242",1
"243",1
"244",2
"245",2
"246",1
"247",2
"248",1
"249",2
"250",2
"251",1
"252",2
"253",1
"254",2
"255",1
"256",1
"257",2
"258",2
"259",2
"260",1
"261",1
"262",2
"263",1
"264",1
"265",2
"266",2
"267",1
"268",1
"269",1
"270",1
"271",2
"272",2
"273",2
"274",2
"275",2
"276",1
"277",1
"278",2
"279",2
"280",2
"281",2
"282",1
"283",1
"284",1
"285",2
"286",1
"287",1
"288",2
"289",2
"290",1
"291",2
"292",2
"293",1
"294",2
"295",2
"296",2
"297",1
"298",1
"299",2
"300",1
"301",1
"302",2
"303",1
"304",1
"305",1
"306",1
"307",1
"308",2
"309",1
"310",2
"311",2
"312",1
"313",2
"314",2
"315",2
"316",1
"317",2
"318",2
"319",2
"320",1
"321",1
"322",2
"323",1
"324",1
"325",2
"326",1
"327",1
"328",1
"329",2
"330",2
"331",2
"332",2
"333",2
"334",1
"335",2
"336",1
"337",2
"338",1
"339",2
"340",2
"341",1
"342",1
"343",2
"344",2
"345",2
"346",1
"347",2
"348",1
"349",1
"350",2
"351",1
"352",2
"353",1
"354",2
"355",1
"356",2
"357",2
"358",1
"359",1
"360",2
"361",2
"362",1
"363",2
"364",2
"365",1
"366",2
"367",1
"368",2
"369",1
"370",1
"371",2
"372",2
"373",2
"374",1
"375",1
"376",1
"377",1
"378",2
"379",2
"380",2
"381",1
"382",2
"383",1
"384",2
"385",2
"386",1
"387",1
"388",2
"389",2
"390",2
"391",2
"392",2
"393",1
"394",1
"395",1
"396",2
"397",2
"398",2
"399",2
"400",2
"401",2
"402",2
"403",2
"404",2
"405",2
"406",2
"407",2
"408",1
"409",1
"410",2
"411",2
"412",2
"413",2
"414",2
"415",2
"416",2
"417",1
"418",2
"419",2
"420",2
"421",1
"422",2
"423",1
"424",1
"425",1
"426",2
"427",2
"428",2
"429",2
"430",1
"431",1
"432",2
"433",2
"434",1
"435",2
"436",2
"437",1
"438",2
"439",1
"440",1
"441",1
"442",2
"443",2
"444",1
"445",2
"446",1
"447",1
"448",2
"449",1
"450",2
"451",2
"452",2
"453",1
"454",2
"455",1
"456",2
"457",1
"458",2
"459",1
"460",1
"461",2
"462",1
"463",2
"464",1
"465",1
"466",2
"467",2
"468",1
"469",2
"470",2
"471",1
"472",2
"473",1
"474",2
"475",1
"476",1
"477",1
"478",2
"479",2
"480",1
"481",1
