"","x"
"1",2
"2",2
"3",2
"4",1
"5",1
"6",2
"7",1
"8",1
"9",1
"10",1
"11",2
"12",1
"13",1
"14",1
"15",2
"16",1
"17",2
"18",2
"19",1
"20",2
"21",2
"22",2
"23",2
"24",1
"25",2
"26",1
"27",1
"28",1
"29",2
"30",1
"31",1
"32",1
"33",1
"34",1
"35",2
"36",2
"37",1
"38",1
"39",2
"40",1
"41",2
"42",2
"43",1
"44",2
"45",1
"46",1
"47",1
"48",1
"49",1
"50",2
"51",1
"52",2
"53",2
"54",1
"55",2
"56",2
"57",2
"58",2
"59",2
"60",1
"61",2
"62",1
"63",1
"64",1
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",1
"72",1
"73",1
"74",2
"75",1
"76",2
"77",2
"78",2
"79",2
"80",1
"81",2
"82",1
"83",1
"84",1
"85",1
"86",2
"87",1
"88",2
"89",2
"90",2
"91",1
"92",2
"93",1
"94",1
"95",2
"96",2
"97",2
"98",1
"99",1
"100",2
"101",2
"102",2
"103",2
"104",1
"105",1
"106",1
"107",1
"108",2
"109",2
"110",1
"111",1
"112",2
"113",2
"114",1
"115",2
"116",2
"117",1
"118",2
"119",2
"120",2
"121",2
"122",1
"123",1
"124",1
"125",2
"126",1
"127",1
"128",1
"129",2
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",2
"140",1
"141",1
"142",2
"143",2
"144",1
"145",1
"146",1
"147",1
"148",2
"149",1
"150",2
"151",2
"152",2
"153",1
"154",1
"155",2
"156",1
"157",2
"158",1
"159",1
"160",2
"161",1
"162",1
"163",2
"164",1
"165",1
"166",1
"167",1
"168",1
"169",2
"170",1
"171",1
"172",2
"173",1
"174",1
"175",1
"176",1
"177",2
"178",1
"179",2
"180",1
"181",1
"182",2
"183",2
"184",2
"185",1
"186",1
"187",1
"188",2
"189",1
"190",2
"191",1
"192",2
"193",2
"194",1
"195",1
"196",1
"197",2
"198",2
"199",1
"200",1
"201",2
"202",1
"203",1
"204",1
"205",1
"206",2
"207",2
"208",2
"209",2
"210",2
"211",1
"212",1
"213",1
"214",1
