"","x"
"1",1
"2",2
"3",1
"4",1
"5",1
"6",2
"7",1
"8",2
"9",2
"10",1
"11",1
"12",2
"13",2
"14",1
"15",2
"16",1
"17",2
"18",2
"19",2
"20",2
"21",1
"22",2
"23",1
"24",1
"25",2
"26",2
"27",2
"28",1
"29",2
"30",1
"31",2
"32",1
"33",2
"34",1
"35",1
"36",2
"37",1
"38",1
"39",2
"40",1
"41",2
"42",2
"43",2
"44",1
"45",1
"46",2
"47",1
"48",2
"49",1
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",1
"59",2
"60",1
"61",1
"62",2
"63",1
"64",2
"65",1
"66",2
"67",1
"68",1
"69",2
"70",2
"71",1
"72",1
"73",1
"74",1
"75",2
"76",2
"77",1
"78",2
"79",2
"80",2
"81",1
"82",2
"83",1
"84",1
"85",2
"86",2
"87",1
"88",2
"89",2
"90",2
"91",2
"92",1
"93",1
"94",2
"95",2
"96",2
"97",2
"98",2
"99",1
"100",1
"101",2
"102",2
"103",1
"104",1
"105",2
"106",1
"107",2
"108",1
"109",1
"110",2
"111",2
"112",2
"113",2
"114",1
"115",1
"116",1
"117",2
"118",1
"119",1
"120",1
"121",1
"122",1
"123",2
"124",1
"125",2
"126",1
"127",1
"128",1
"129",1
"130",2
"131",2
"132",1
"133",2
"134",1
"135",2
"136",1
"137",2
"138",1
"139",2
"140",2
"141",2
"142",1
"143",2
"144",1
"145",2
"146",1
"147",2
"148",2
"149",1
"150",1
"151",2
"152",1
"153",1
"154",2
"155",1
"156",2
"157",2
"158",2
"159",1
"160",1
"161",1
"162",2
"163",1
"164",1
"165",2
"166",1
"167",1
"168",2
"169",1
"170",1
"171",1
"172",1
"173",2
"174",2
"175",1
"176",2
"177",1
"178",1
"179",2
"180",2
"181",1
"182",1
"183",1
"184",1
"185",2
"186",1
"187",2
"188",2
"189",2
"190",1
"191",1
"192",1
"193",1
"194",2
"195",2
"196",2
"197",2
"198",1
"199",2
"200",1
"201",1
"202",2
"203",2
"204",1
"205",2
"206",2
"207",2
"208",1
"209",1
"210",2
"211",2
"212",2
"213",2
"214",2
"215",1
"216",1
"217",2
"218",1
"219",1
"220",2
"221",2
"222",2
"223",1
"224",1
"225",2
"226",2
"227",2
"228",1
"229",2
"230",2
"231",2
"232",1
"233",2
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",1
"241",2
"242",1
"243",2
"244",1
"245",2
"246",1
"247",2
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",2
"255",2
"256",1
"257",1
"258",1
"259",2
"260",1
"261",1
"262",2
"263",1
"264",1
"265",1
"266",1
"267",2
"268",1
"269",1
"270",2
"271",1
"272",2
"273",1
"274",1
"275",2
"276",1
"277",1
"278",2
"279",1
"280",2
"281",2
"282",1
"283",1
"284",1
"285",2
"286",1
"287",1
"288",2
"289",2
"290",1
"291",1
"292",1
"293",1
"294",2
"295",2
"296",2
"297",2
"298",2
"299",2
"300",1
"301",2
"302",2
"303",2
"304",1
"305",2
"306",1
"307",2
"308",2
"309",1
"310",1
"311",2
"312",2
"313",1
"314",2
"315",1
"316",2
"317",1
"318",2
"319",1
"320",1
"321",2
"322",1
"323",2
"324",2
"325",1
"326",2
"327",2
"328",2
"329",1
"330",2
"331",2
"332",2
"333",2
"334",2
"335",1
"336",2
"337",1
"338",2
"339",1
"340",1
"341",2
"342",1
"343",2
"344",2
"345",1
"346",2
"347",1
"348",2
"349",1
"350",2
"351",1
"352",2
"353",2
"354",1
"355",2
"356",1
"357",1
"358",2
"359",1
"360",2
"361",1
"362",2
"363",1
"364",1
"365",2
"366",1
"367",1
"368",2
"369",1
"370",1
"371",2
"372",2
"373",1
"374",2
"375",2
"376",2
"377",1
"378",2
"379",1
"380",1
"381",2
"382",1
"383",2
"384",2
"385",2
"386",1
"387",2
"388",2
"389",1
"390",1
"391",2
"392",1
"393",2
"394",1
"395",1
"396",2
"397",2
"398",2
"399",2
"400",2
"401",2
"402",2
"403",1
"404",2
"405",2
"406",2
"407",2
"408",1
"409",1
"410",1
"411",1
"412",1
"413",2
"414",2
"415",1
"416",1
"417",2
"418",1
"419",1
"420",1
"421",1
"422",1
"423",2
"424",1
"425",2
"426",1
"427",1
"428",1
"429",2
"430",1
"431",2
"432",1
"433",2
"434",1
"435",1
"436",2
"437",1
"438",2
"439",2
"440",2
"441",2
"442",2
"443",1
"444",1
"445",2
"446",2
"447",2
"448",1
"449",2
"450",1
"451",2
"452",2
