"","x"
"1",1
"2",2
"3",1
"4",2
"5",1
"6",2
"7",1
"8",2
"9",1
"10",1
"11",1
"12",2
"13",1
"14",1
"15",2
"16",1
"17",1
"18",1
"19",1
"20",1
"21",2
"22",2
"23",1
"24",2
"25",2
"26",1
"27",1
"28",2
"29",2
"30",2
"31",2
"32",1
"33",1
"34",2
"35",1
"36",1
"37",2
"38",2
"39",2
"40",2
"41",1
"42",2
"43",2
"44",1
"45",1
"46",1
"47",2
"48",1
"49",2
"50",1
"51",2
"52",2
"53",2
"54",2
"55",2
"56",1
"57",2
"58",2
"59",1
"60",2
"61",1
"62",2
"63",2
"64",2
"65",1
"66",1
"67",2
"68",2
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",2
"76",1
"77",1
"78",2
"79",2
"80",2
"81",1
"82",2
"83",1
"84",1
"85",1
"86",1
"87",1
"88",2
"89",2
"90",1
"91",1
"92",2
"93",1
"94",1
"95",1
"96",2
"97",1
"98",2
"99",2
"100",2
"101",1
"102",1
"103",1
"104",2
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",2
"113",1
"114",2
"115",1
"116",1
"117",1
"118",2
"119",2
"120",2
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",2
"128",2
"129",2
"130",2
"131",2
"132",1
"133",1
"134",1
"135",1
"136",1
"137",2
"138",2
"139",1
"140",2
"141",2
"142",1
"143",2
"144",2
"145",1
"146",2
"147",1
"148",2
"149",1
"150",2
"151",2
"152",2
"153",1
"154",2
"155",2
"156",1
"157",1
"158",2
"159",1
"160",2
"161",2
"162",1
"163",1
"164",1
"165",1
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",2
"173",2
"174",1
"175",2
"176",1
"177",1
"178",1
"179",2
"180",2
"181",1
"182",1
"183",1
"184",1
"185",2
"186",2
"187",2
"188",1
"189",1
"190",1
"191",2
"192",1
"193",1
"194",2
"195",1
"196",1
"197",2
"198",1
"199",1
"200",1
"201",2
"202",1
"203",1
"204",2
"205",1
"206",1
"207",2
"208",2
"209",1
"210",2
"211",1
"212",2
"213",1
"214",2
"215",2
"216",2
"217",1
"218",2
"219",1
"220",2
"221",2
"222",2
"223",2
"224",1
"225",2
"226",2
"227",2
"228",1
"229",2
"230",1
"231",2
"232",1
"233",1
"234",1
"235",2
"236",2
"237",1
"238",1
"239",2
"240",2
"241",1
"242",1
"243",2
"244",2
"245",2
"246",2
"247",1
"248",1
"249",2
"250",1
"251",1
"252",2
"253",2
"254",1
"255",1
"256",1
"257",1
"258",2
"259",2
"260",2
"261",1
"262",2
"263",1
"264",1
"265",2
"266",1
"267",1
"268",2
"269",1
"270",1
"271",1
"272",1
"273",1
"274",2
"275",1
"276",2
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",2
"286",2
"287",2
"288",1
"289",1
"290",2
"291",1
"292",2
"293",2
"294",2
"295",1
"296",2
"297",1
"298",1
"299",1
"300",2
"301",2
"302",2
"303",1
"304",1
"305",1
"306",2
"307",2
"308",2
"309",1
"310",1
"311",1
"312",1
"313",1
"314",2
"315",1
"316",2
"317",1
"318",2
"319",2
"320",1
"321",2
"322",2
"323",1
"324",2
"325",1
"326",1
"327",2
"328",2
"329",1
"330",1
"331",2
"332",1
"333",1
"334",2
"335",1
"336",2
"337",2
"338",1
"339",2
"340",1
"341",1
"342",2
"343",1
"344",1
"345",2
"346",1
"347",1
"348",2
"349",2
"350",2
"351",2
"352",2
"353",2
"354",1
"355",2
"356",2
"357",2
"358",2
"359",2
"360",2
"361",1
"362",1
"363",2
"364",2
"365",2
"366",1
"367",1
"368",1
"369",1
"370",2
"371",1
"372",2
"373",1
"374",2
"375",1
"376",1
"377",2
"378",2
"379",1
"380",1
"381",2
"382",1
"383",2
"384",1
"385",1
"386",1
"387",2
"388",1
"389",1
"390",2
"391",1
"392",1
"393",2
"394",2
"395",1
"396",2
"397",2
"398",1
"399",1
"400",2
"401",2
"402",1
"403",2
"404",1
"405",1
"406",1
"407",2
"408",1
"409",1
"410",2
"411",2
"412",1
"413",1
"414",2
"415",2
"416",1
"417",2
"418",2
"419",2
"420",2
"421",2
"422",1
"423",1
"424",1
"425",2
"426",2
"427",1
"428",1
"429",2
"430",1
"431",1
"432",2
"433",1
"434",2
"435",2
"436",2
"437",1
"438",2
"439",1
"440",2
"441",1
"442",1
"443",1
"444",2
"445",2
"446",1
"447",1
"448",2
"449",2
"450",2
"451",2
"452",2
