"","x"
"1",1
"2",2
"3",1
"4",2
"5",1
"6",1
"7",2
"8",2
"9",1
"10",2
"11",1
"12",2
"13",1
"14",2
"15",2
"16",1
"17",1
"18",1
"19",2
"20",1
"21",1
"22",2
"23",1
"24",1
"25",1
"26",1
"27",1
"28",2
"29",1
"30",2
"31",1
"32",1
"33",1
"34",1
"35",2
"36",2
"37",2
"38",1
"39",1
"40",2
"41",1
"42",1
"43",1
"44",2
"45",2
"46",1
"47",2
"48",2
"49",1
"50",1
"51",2
"52",1
"53",1
"54",2
"55",1
"56",2
"57",2
"58",1
"59",2
"60",1
"61",1
"62",2
"63",1
"64",2
"65",1
"66",1
"67",1
"68",2
"69",2
"70",2
"71",1
"72",1
"73",1
"74",2
"75",2
"76",1
"77",1
"78",2
"79",2
"80",2
"81",2
"82",2
"83",1
"84",1
"85",2
"86",2
"87",2
"88",1
"89",2
"90",2
"91",1
"92",1
"93",1
"94",1
"95",1
"96",2
"97",2
"98",1
"99",2
"100",2
"101",1
"102",2
"103",1
"104",2
"105",1
"106",2
"107",1
"108",2
"109",2
"110",2
"111",1
"112",2
"113",1
"114",1
"115",1
"116",1
"117",2
"118",1
"119",2
"120",1
"121",2
"122",2
"123",2
"124",1
"125",2
"126",1
"127",1
"128",2
"129",2
"130",2
"131",2
"132",1
"133",1
"134",1
"135",1
"136",2
"137",2
"138",2
"139",2
"140",2
"141",1
"142",1
"143",2
"144",1
"145",2
"146",1
"147",2
"148",1
"149",2
"150",1
"151",2
"152",1
"153",2
"154",2
"155",2
"156",1
"157",2
"158",1
"159",2
"160",1
"161",1
"162",1
"163",2
"164",1
"165",1
"166",2
"167",1
"168",2
"169",2
"170",1
"171",2
"172",2
"173",1
"174",2
"175",2
"176",1
"177",2
"178",1
"179",2
"180",2
"181",1
"182",2
"183",2
"184",2
"185",1
"186",1
"187",1
"188",2
"189",1
"190",1
"191",1
"192",1
"193",2
"194",1
"195",2
"196",2
"197",2
"198",1
"199",1
"200",2
"201",1
"202",2
"203",2
"204",1
"205",2
"206",1
"207",2
"208",1
"209",2
"210",2
"211",1
"212",1
"213",2
"214",1
"215",2
"216",2
"217",2
"218",1
"219",1
"220",1
"221",2
"222",2
"223",2
"224",2
"225",1
"226",1
"227",2
"228",2
"229",1
"230",1
"231",1
"232",1
"233",2
"234",1
"235",1
"236",1
"237",2
"238",1
"239",2
"240",1
"241",1
"242",1
"243",2
"244",1
"245",2
"246",1
"247",2
"248",2
"249",1
"250",1
"251",2
"252",2
"253",2
"254",2
"255",2
"256",1
"257",2
"258",2
"259",2
"260",2
"261",1
"262",2
"263",1
"264",2
"265",2
"266",1
"267",2
"268",1
"269",2
"270",2
"271",1
"272",2
"273",2
"274",1
"275",2
"276",2
"277",2
"278",1
"279",2
"280",2
"281",2
"282",2
"283",1
"284",1
"285",2
"286",2
"287",2
"288",1
"289",1
"290",2
"291",2
"292",1
"293",1
"294",2
"295",2
"296",2
"297",1
"298",2
"299",1
"300",1
"301",1
"302",1
"303",2
"304",1
"305",2
"306",2
"307",1
"308",1
"309",2
"310",2
"311",2
"312",1
"313",1
"314",2
"315",1
"316",1
"317",2
"318",2
"319",1
"320",2
"321",2
"322",2
"323",2
"324",1
"325",2
"326",2
"327",2
"328",1
"329",1
"330",1
"331",2
"332",1
"333",1
"334",2
"335",2
"336",2
"337",1
"338",2
"339",2
"340",1
"341",1
"342",2
"343",1
"344",1
"345",1
"346",2
"347",1
"348",2
"349",1
"350",2
"351",2
"352",2
"353",2
"354",2
"355",1
"356",1
"357",1
"358",2
"359",2
"360",1
"361",2
"362",1
"363",2
"364",1
"365",2
"366",1
"367",1
"368",2
"369",1
"370",1
"371",2
"372",2
"373",2
"374",2
"375",1
"376",1
"377",2
"378",2
"379",2
"380",1
"381",2
"382",2
"383",2
"384",2
"385",2
"386",1
"387",2
"388",2
"389",2
"390",1
"391",1
"392",1
"393",2
"394",1
"395",2
"396",2
"397",2
"398",2
"399",2
"400",2
"401",2
"402",2
"403",2
"404",2
"405",2
"406",2
"407",1
"408",2
"409",1
"410",2
"411",1
"412",1
"413",1
"414",1
"415",2
"416",2
"417",1
"418",1
"419",1
"420",2
"421",1
"422",1
"423",2
"424",1
"425",2
"426",2
"427",1
"428",1
"429",2
"430",1
"431",2
"432",2
"433",2
"434",2
"435",1
"436",1
"437",2
"438",1
"439",2
"440",2
"441",1
"442",2
"443",2
"444",2
"445",2
"446",2
"447",1
"448",1
"449",1
"450",1
"451",2
"452",2
