"","x"
"1",2
"2",2
"3",1
"4",2
"5",2
"6",2
"7",2
"8",1
"9",1
"10",1
"11",1
"12",1
"13",2
"14",2
"15",1
"16",2
"17",1
"18",1
"19",1
"20",2
"21",1
"22",1
"23",1
"24",1
"25",2
"26",2
"27",2
"28",2
"29",1
"30",2
"31",2
"32",2
"33",1
"34",1
"35",2
"36",2
"37",1
"38",2
"39",1
"40",1
"41",1
"42",1
"43",2
"44",1
"45",2
"46",1
"47",2
"48",2
"49",1
"50",2
"51",1
"52",1
"53",1
"54",2
"55",1
"56",1
"57",2
"58",1
"59",2
"60",1
"61",2
"62",2
"63",1
"64",1
"65",1
"66",1
"67",2
"68",1
"69",1
"70",2
"71",2
"72",2
"73",1
"74",2
"75",2
"76",2
"77",2
"78",1
"79",2
"80",2
"81",2
"82",1
"83",2
"84",1
"85",2
"86",1
"87",2
"88",1
"89",2
"90",2
"91",2
"92",2
"93",1
"94",2
"95",1
"96",2
"97",1
"98",2
"99",2
"100",2
"101",1
"102",1
"103",2
"104",1
"105",1
"106",1
"107",2
"108",2
"109",2
"110",1
"111",2
"112",1
"113",1
"114",2
"115",1
"116",2
"117",2
"118",2
"119",1
"120",2
"121",1
"122",2
"123",2
"124",2
"125",1
"126",2
"127",2
"128",2
"129",2
"130",1
"131",2
"132",1
"133",1
"134",2
"135",2
"136",2
"137",2
"138",2
"139",1
"140",1
"141",2
"142",2
"143",2
"144",2
"145",2
"146",1
"147",1
"148",1
"149",2
"150",1
"151",2
"152",1
"153",1
"154",2
"155",2
"156",2
"157",2
"158",1
"159",2
"160",2
"161",2
"162",1
"163",1
"164",1
"165",1
"166",2
"167",1
"168",1
"169",1
"170",1
"171",1
"172",2
"173",2
"174",2
"175",1
"176",2
"177",1
"178",1
"179",1
"180",2
"181",1
"182",1
"183",1
"184",2
"185",2
"186",1
"187",1
"188",1
"189",2
"190",2
"191",2
"192",2
"193",2
"194",1
"195",2
"196",1
"197",2
"198",1
"199",1
"200",1
"201",2
"202",2
"203",2
"204",1
"205",2
"206",1
"207",2
"208",1
"209",2
"210",1
"211",1
"212",2
"213",2
"214",1
