"","x"
"1",2
"2",1
"3",1
"4",2
"5",2
"6",1
"7",2
"8",1
"9",1
"10",2
"11",1
"12",1
"13",2
"14",1
"15",1
"16",2
"17",1
"18",1
"19",1
"20",2
"21",2
"22",1
"23",2
"24",2
"25",2
"26",1
"27",1
"28",2
"29",2
"30",1
"31",2
"32",2
"33",1
"34",2
"35",2
"36",2
"37",1
"38",1
"39",2
"40",2
"41",1
"42",2
"43",1
"44",2
"45",1
"46",2
"47",2
"48",2
"49",1
"50",2
"51",2
"52",2
"53",2
"54",2
"55",1
"56",2
"57",2
"58",1
"59",2
"60",1
"61",2
"62",1
"63",1
"64",1
"65",1
"66",2
"67",1
"68",1
"69",2
"70",1
"71",2
"72",2
"73",2
"74",1
"75",2
"76",1
"77",2
"78",2
"79",2
"80",2
"81",1
"82",1
"83",2
"84",2
"85",1
"86",2
"87",2
"88",2
"89",1
"90",2
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",2
"98",2
"99",2
"100",1
"101",1
"102",2
"103",2
"104",1
"105",2
"106",2
"107",1
"108",2
"109",1
"110",2
"111",2
"112",1
"113",2
"114",1
"115",2
"116",1
"117",1
"118",1
"119",2
"120",1
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",2
"128",1
"129",2
"130",1
"131",1
"132",1
"133",1
"134",2
"135",1
"136",1
"137",2
"138",2
"139",1
"140",2
"141",2
"142",1
"143",1
"144",1
"145",2
"146",1
"147",1
"148",1
"149",2
"150",1
"151",2
"152",1
"153",2
"154",1
"155",2
"156",1
"157",2
"158",1
"159",1
"160",1
"161",1
"162",2
"163",2
"164",1
"165",1
"166",1
"167",1
"168",2
"169",1
"170",1
"171",2
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",2
"179",1
"180",2
"181",1
"182",1
"183",1
"184",1
"185",2
"186",2
"187",1
"188",2
"189",2
"190",2
"191",2
"192",2
"193",1
"194",1
"195",2
"196",2
"197",2
"198",1
"199",2
"200",2
"201",1
"202",1
"203",2
"204",2
"205",1
"206",2
"207",2
"208",1
"209",2
"210",2
"211",1
"212",1
"213",2
"214",1
"215",2
"216",1
"217",2
"218",2
"219",2
"220",2
"221",2
"222",1
"223",2
"224",2
"225",1
"226",2
"227",1
"228",2
"229",1
"230",2
"231",2
"232",2
"233",2
"234",1
"235",1
"236",2
"237",2
"238",1
"239",2
"240",2
"241",2
"242",1
"243",2
"244",2
"245",2
"246",1
"247",2
"248",2
"249",1
"250",1
"251",2
"252",2
"253",1
"254",2
"255",2
"256",2
"257",1
"258",1
"259",1
"260",2
"261",2
"262",1
"263",1
"264",2
"265",2
"266",1
"267",2
"268",2
"269",2
"270",1
"271",2
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",2
"280",1
"281",2
"282",2
"283",2
"284",2
"285",1
"286",2
"287",2
"288",2
"289",2
"290",1
"291",2
"292",2
"293",2
"294",1
"295",1
"296",1
"297",2
"298",2
"299",1
"300",1
"301",2
"302",1
"303",2
"304",2
"305",2
"306",1
"307",1
"308",2
"309",1
"310",2
"311",2
"312",2
"313",2
"314",2
"315",1
"316",2
"317",2
"318",2
"319",1
"320",1
"321",1
"322",2
"323",2
"324",1
"325",2
"326",1
"327",1
"328",1
"329",2
"330",1
"331",2
"332",1
"333",2
"334",1
"335",2
"336",1
"337",1
"338",1
"339",2
"340",2
"341",2
"342",2
"343",2
"344",1
"345",1
"346",2
"347",1
"348",1
"349",1
"350",2
"351",1
"352",2
"353",2
"354",1
"355",2
"356",2
"357",2
"358",2
"359",1
"360",1
"361",2
"362",1
"363",2
"364",2
"365",2
"366",2
"367",1
"368",1
"369",2
"370",2
"371",2
"372",1
"373",1
"374",2
"375",1
"376",2
"377",2
"378",1
"379",2
"380",1
"381",1
"382",2
"383",2
"384",1
"385",2
"386",2
"387",2
"388",2
"389",2
"390",2
"391",1
"392",1
"393",2
"394",1
"395",2
"396",1
"397",1
"398",2
"399",2
"400",2
"401",1
"402",2
"403",2
"404",2
"405",1
"406",1
"407",1
"408",2
"409",1
"410",2
"411",1
"412",1
"413",1
"414",2
"415",1
"416",1
"417",2
"418",1
"419",2
"420",1
"421",2
"422",2
"423",2
"424",2
"425",2
"426",2
"427",1
"428",1
"429",1
"430",2
"431",2
"432",1
"433",2
"434",1
"435",2
"436",1
"437",1
"438",2
"439",1
"440",1
"441",2
"442",2
"443",2
"444",1
"445",1
"446",2
"447",2
"448",1
"449",1
"450",2
"451",1
"452",2
"453",2
"454",2
"455",1
"456",2
"457",2
"458",2
"459",1
"460",2
"461",1
"462",1
"463",2
"464",1
"465",2
"466",1
"467",2
"468",2
"469",2
"470",1
"471",1
"472",2
"473",2
"474",2
"475",2
"476",2
"477",1
"478",2
"479",2
"480",2
"481",2
"482",1
"483",2
"484",2
"485",1
"486",1
"487",2
"488",2
"489",2
"490",1
"491",1
"492",1
"493",2
"494",1
"495",1
"496",1
"497",1
"498",2
"499",2
"500",1
"501",2
"502",1
"503",2
"504",2
"505",2
"506",1
"507",1
"508",1
"509",1
"510",1
"511",2
"512",2
"513",2
"514",1
"515",1
"516",2
"517",2
"518",2
"519",2
"520",2
"521",1
"522",1
"523",1
"524",1
"525",2
"526",2
"527",1
"528",1
"529",2
"530",1
"531",2
"532",1
"533",2
"534",2
"535",2
"536",2
"537",1
"538",2
"539",2
"540",2
"541",1
"542",2
"543",2
"544",2
"545",2
"546",1
"547",2
"548",1
"549",1
"550",2
"551",2
"552",2
"553",2
"554",1
"555",2
"556",2
"557",2
"558",1
"559",2
"560",2
"561",2
"562",2
"563",2
"564",2
"565",2
"566",2
"567",2
"568",2
"569",1
"570",2
"571",2
"572",2
"573",2
"574",2
"575",2
"576",1
"577",1
"578",2
"579",1
"580",1
"581",1
"582",2
"583",2
"584",2
"585",1
"586",1
"587",1
"588",2
"589",2
"590",2
"591",2
"592",2
"593",2
"594",1
"595",1
"596",1
"597",1
"598",2
"599",2
"600",1
"601",1
"602",2
"603",2
"604",2
"605",2
"606",1
"607",2
"608",1
"609",2
"610",1
"611",1
"612",2
"613",2
"614",2
"615",1
"616",1
"617",1
"618",1
"619",2
"620",1
"621",1
"622",1
"623",2
"624",1
"625",1
"626",2
"627",2
"628",2
"629",1
"630",1
"631",1
"632",2
"633",1
"634",1
"635",1
"636",2
"637",2
"638",2
"639",1
"640",2
"641",2
"642",1
"643",1
"644",2
"645",1
"646",2
"647",1
"648",2
"649",1
"650",1
"651",1
"652",2
"653",1
"654",2
"655",2
"656",1
"657",2
"658",1
"659",1
"660",1
"661",1
"662",1
"663",2
"664",2
"665",1
"666",2
"667",2
"668",2
"669",1
"670",2
"671",1
"672",1
"673",1
"674",1
"675",2
"676",2
"677",2
"678",2
"679",1
"680",1
"681",2
"682",2
"683",2
"684",2
"685",1
"686",1
"687",1
"688",1
"689",2
"690",2
"691",1
"692",1
"693",2
"694",1
"695",1
"696",2
"697",2
"698",1
"699",1
"700",1
"701",1
"702",1
"703",2
"704",2
"705",1
"706",1
"707",2
"708",2
"709",2
"710",2
"711",2
"712",1
"713",1
"714",2
"715",2
"716",1
"717",2
"718",1
"719",2
"720",2
"721",1
"722",1
"723",2
"724",1
"725",2
"726",2
"727",1
"728",2
"729",2
"730",2
"731",1
"732",1
"733",1
"734",1
"735",2
"736",1
"737",2
"738",1
"739",1
"740",1
"741",1
"742",1
"743",2
"744",2
"745",2
"746",2
"747",2
"748",1
"749",2
"750",1
"751",1
"752",2
"753",1
"754",2
"755",2
"756",1
"757",2
"758",2
"759",2
"760",2
"761",2
"762",2
"763",1
"764",1
"765",1
"766",2
"767",2
"768",1
"769",2
"770",2
"771",2
"772",2
"773",1
"774",1
"775",2
"776",2
"777",1
"778",1
"779",2
"780",2
"781",2
"782",2
"783",2
"784",1
"785",2
"786",1
"787",2
"788",1
"789",2
"790",1
"791",2
"792",2
"793",1
"794",2
"795",2
"796",1
"797",1
"798",2
"799",1
"800",2
"801",2
"802",1
"803",2
"804",1
"805",1
"806",1
"807",2
"808",2
"809",1
"810",2
"811",1
"812",1
"813",2
"814",2
"815",1
"816",1
"817",2
"818",1
"819",2
"820",1
"821",2
"822",2
"823",2
"824",1
"825",2
"826",2
"827",2
"828",1
"829",1
"830",1
"831",1
"832",1
"833",2
"834",2
"835",2
"836",2
"837",1
"838",1
"839",1
"840",1
"841",1
"842",2
"843",1
"844",2
"845",2
"846",1
"847",1
"848",1
"849",2
"850",1
"851",1
"852",1
"853",1
"854",1
"855",2
"856",2
"857",2
"858",1
"859",1
"860",1
"861",1
"862",1
"863",2
"864",2
"865",2
"866",2
"867",1
"868",1
"869",2
"870",1
"871",1
"872",2
"873",2
"874",2
"875",2
"876",2
"877",2
"878",2
"879",2
"880",1
"881",1
"882",1
