"","x"
"1",1
"2",1
"3",2
"4",2
"5",3
"6",3
"7",4
"8",4
"9",5
"10",5
"11",6
"12",6
"13",7
"14",7
"15",8
"16",8
"17",9
"18",9
"19",10
"20",10
"21",11
"22",11
"23",12
"24",12
"25",13
"26",13
"27",14
"28",14
"29",15
"30",15
"31",16
"32",16
"33",17
"34",17
"35",18
"36",18
"37",19
"38",19
"39",20
"40",20
"41",21
"42",21
"43",22
"44",22
"45",23
"46",23
"47",24
"48",24
"49",25
"50",25
"51",26
"52",26
"53",1
"54",1
"55",2
"56",2
"57",3
"58",3
"59",4
"60",4
"61",5
"62",5
"63",6
"64",6
"65",7
"66",7
"67",8
"68",8
"69",9
"70",9
"71",10
"72",10
"73",11
"74",11
"75",12
"76",12
"77",13
"78",13
"79",14
"80",14
"81",15
"82",15
"83",16
"84",16
"85",17
"86",17
"87",18
"88",18
"89",19
"90",19
"91",20
"92",20
"93",21
"94",21
"95",22
"96",22
"97",23
"98",23
"99",24
"100",24
"101",25
"102",25
"103",26
"104",26
"105",1
"106",1
"107",2
"108",2
"109",3
"110",3
"111",4
"112",4
"113",5
"114",5
"115",6
"116",6
"117",7
"118",7
"119",8
"120",8
"121",9
"122",9
"123",10
"124",10
"125",11
"126",11
"127",12
"128",12
"129",13
"130",13
"131",14
"132",14
"133",15
"134",15
"135",16
"136",16
"137",17
"138",17
"139",18
"140",18
"141",19
"142",19
"143",20
"144",20
"145",21
"146",21
"147",22
"148",22
"149",23
"150",23
"151",24
"152",24
"153",25
"154",25
"155",26
"156",26
"157",1
"158",1
"159",2
"160",2
"161",3
"162",3
"163",4
"164",4
"165",5
"166",5
"167",6
"168",6
"169",7
"170",7
"171",8
"172",8
"173",9
"174",9
"175",10
"176",10
"177",11
"178",11
"179",12
"180",12
"181",13
"182",13
"183",14
"184",14
"185",15
"186",15
"187",16
"188",16
"189",17
"190",17
"191",18
"192",18
"193",19
"194",19
"195",20
"196",20
"197",21
"198",21
"199",22
"200",22
"201",23
"202",23
"203",24
"204",24
"205",25
"206",25
"207",26
"208",26
"209",1
"210",1
"211",2
"212",2
"213",3
"214",3
"215",4
"216",4
"217",5
"218",5
"219",6
"220",6
"221",7
"222",7
"223",8
"224",8
"225",9
"226",9
"227",10
"228",10
"229",11
"230",11
"231",12
"232",12
"233",13
"234",13
"235",14
"236",14
"237",15
"238",15
"239",16
"240",16
"241",17
"242",17
"243",18
"244",18
"245",19
"246",19
"247",20
"248",20
"249",21
"250",21
"251",22
"252",22
"253",23
"254",23
"255",24
"256",24
"257",25
"258",25
"259",26
"260",26
"261",1
"262",1
"263",2
"264",2
"265",3
"266",3
"267",4
"268",4
"269",5
"270",5
"271",6
"272",6
"273",7
"274",7
"275",8
"276",8
"277",9
"278",9
"279",10
"280",10
"281",11
"282",11
"283",12
"284",12
"285",13
"286",13
"287",14
"288",14
"289",15
"290",15
"291",16
"292",16
"293",17
"294",17
"295",18
"296",18
"297",19
"298",19
"299",20
"300",20
"301",21
"302",21
"303",22
"304",22
"305",23
"306",23
"307",24
"308",24
"309",25
"310",25
"311",26
"312",26
"313",1
"314",1
"315",2
"316",2
"317",3
"318",3
"319",4
"320",4
"321",5
"322",5
"323",6
"324",6
"325",7
"326",7
"327",8
"328",8
"329",9
"330",9
"331",10
"332",10
"333",11
"334",11
"335",12
"336",12
"337",13
"338",13
"339",14
"340",14
"341",15
"342",15
"343",16
"344",16
"345",17
"346",17
"347",18
"348",18
"349",19
"350",19
"351",20
"352",20
"353",21
"354",21
"355",22
"356",22
"357",23
"358",23
"359",24
"360",24
"361",25
"362",25
"363",26
"364",26
"365",1
"366",1
"367",2
"368",2
"369",3
"370",3
"371",4
"372",4
"373",5
"374",5
"375",6
"376",6
"377",7
"378",7
"379",8
"380",8
"381",9
"382",9
"383",10
"384",10
"385",11
"386",11
"387",12
"388",12
"389",13
"390",13
"391",14
"392",14
"393",15
"394",15
"395",16
"396",16
"397",17
"398",17
"399",18
"400",18
"401",19
"402",19
"403",20
"404",20
"405",21
"406",21
"407",22
"408",22
"409",23
"410",23
"411",24
"412",24
"413",25
"414",25
"415",26
"416",26
"417",1
"418",1
"419",2
"420",2
"421",3
"422",3
"423",4
"424",4
"425",5
"426",5
"427",6
"428",6
"429",7
"430",7
"431",8
"432",8
"433",9
"434",9
"435",10
"436",10
"437",11
"438",11
"439",12
"440",12
"441",13
"442",13
"443",14
"444",14
"445",15
"446",15
"447",16
"448",16
"449",17
"450",17
"451",18
"452",18
"453",19
"454",19
"455",20
"456",20
"457",21
"458",21
"459",22
"460",22
"461",23
"462",23
"463",24
"464",24
"465",25
"466",25
"467",26
"468",26
"469",1
"470",1
"471",2
"472",2
"473",3
"474",3
"475",4
"476",4
"477",5
"478",5
"479",6
"480",6
"481",7
