"","x"
"1",2
"2",2
"3",1
"4",1
"5",1
"6",2
"7",1
"8",2
"9",1
"10",1
"11",2
"12",1
"13",2
"14",1
"15",1
"16",1
"17",1
"18",2
"19",1
"20",1
"21",2
"22",1
"23",1
"24",1
"25",2
"26",2
"27",2
"28",1
"29",1
"30",1
"31",1
"32",1
"33",2
"34",1
"35",2
"36",1
"37",1
"38",1
"39",2
"40",2
"41",1
"42",1
"43",2
"44",2
"45",1
"46",1
"47",1
"48",2
"49",1
"50",1
"51",1
"52",2
"53",1
"54",1
"55",2
"56",1
"57",2
"58",2
"59",2
"60",2
"61",1
"62",2
"63",1
"64",1
"65",2
"66",2
"67",2
"68",1
"69",2
"70",1
"71",2
"72",2
"73",2
"74",1
"75",2
"76",2
"77",1
"78",2
"79",1
"80",2
"81",2
"82",2
"83",1
"84",1
"85",1
"86",2
"87",2
"88",2
"89",2
"90",2
"91",1
"92",1
"93",2
"94",2
"95",1
"96",2
"97",1
"98",2
"99",2
"100",1
"101",2
"102",2
"103",1
"104",2
"105",2
"106",2
"107",2
"108",2
"109",1
"110",1
"111",1
"112",2
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",2
"124",2
"125",1
"126",2
"127",2
"128",1
"129",1
"130",2
"131",2
"132",1
"133",1
"134",1
"135",2
"136",2
"137",1
"138",1
"139",1
"140",1
"141",1
"142",2
"143",1
"144",1
"145",1
"146",2
"147",2
"148",2
"149",1
"150",1
"151",1
"152",2
"153",1
"154",1
"155",1
"156",2
"157",2
"158",2
"159",1
"160",1
"161",1
"162",2
"163",2
"164",1
"165",1
"166",2
"167",2
"168",2
"169",1
"170",2
"171",1
"172",2
"173",2
"174",2
"175",2
"176",1
"177",1
"178",2
"179",2
"180",1
"181",1
"182",2
"183",2
"184",1
"185",2
"186",1
"187",2
"188",1
"189",2
"190",1
"191",2
"192",1
"193",1
"194",2
"195",2
"196",2
"197",1
"198",2
"199",2
"200",1
"201",2
"202",2
"203",2
"204",1
"205",1
"206",2
"207",1
"208",1
"209",2
"210",2
"211",2
"212",1
"213",2
"214",1
