"","x"
"1",1
"2",2
"3",1
"4",1
"5",1
"6",1
"7",1
"8",2
"9",1
"10",1
"11",1
"12",2
"13",1
"14",2
"15",2
"16",2
"17",1
"18",1
"19",2
"20",1
"21",1
"22",2
"23",1
"24",1
"25",2
"26",2
"27",2
"28",1
"29",1
"30",1
"31",2
"32",1
"33",1
"34",1
"35",2
"36",2
"37",2
"38",2
"39",1
"40",2
"41",1
"42",1
"43",2
"44",2
"45",2
"46",2
"47",2
"48",1
"49",2
"50",2
"51",1
"52",2
"53",2
"54",1
"55",1
"56",1
"57",2
"58",2
"59",2
"60",2
"61",1
"62",2
"63",1
"64",1
"65",2
"66",2
"67",2
"68",2
"69",2
"70",2
"71",2
"72",2
"73",1
"74",1
"75",1
"76",2
"77",1
"78",2
"79",2
"80",1
"81",2
"82",2
"83",2
"84",2
"85",2
"86",1
"87",1
"88",2
"89",1
"90",2
"91",1
"92",1
"93",1
"94",1
"95",2
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",2
"103",1
"104",1
"105",2
"106",2
"107",1
"108",2
"109",2
"110",2
"111",2
"112",1
"113",2
"114",1
"115",2
"116",2
"117",1
"118",1
"119",1
"120",1
"121",2
"122",2
"123",2
"124",1
"125",1
"126",1
"127",1
"128",1
"129",2
"130",1
"131",2
"132",1
"133",1
"134",2
"135",1
"136",1
"137",1
"138",1
"139",1
"140",2
"141",1
"142",1
"143",2
"144",1
"145",2
"146",2
"147",2
"148",1
"149",2
"150",2
"151",2
"152",2
"153",1
"154",1
"155",2
"156",1
"157",2
"158",1
"159",1
"160",1
"161",1
"162",2
"163",1
"164",1
"165",2
"166",2
"167",1
"168",1
"169",2
"170",2
"171",2
"172",1
"173",2
"174",2
"175",1
"176",2
"177",1
"178",1
"179",2
"180",2
"181",2
"182",1
"183",2
"184",2
"185",1
"186",1
"187",2
"188",1
"189",2
"190",1
"191",1
"192",1
"193",2
"194",1
"195",2
"196",1
"197",1
"198",1
"199",2
"200",1
"201",1
"202",1
"203",1
"204",1
"205",2
"206",1
"207",2
"208",2
"209",2
"210",1
"211",2
"212",2
"213",2
"214",1
"215",1
"216",2
"217",2
"218",1
"219",2
"220",2
"221",2
"222",1
"223",2
"224",2
"225",1
"226",1
"227",1
"228",2
"229",2
"230",2
"231",1
"232",1
"233",2
"234",2
"235",2
"236",1
"237",2
"238",1
"239",2
"240",2
"241",1
"242",1
"243",2
"244",2
"245",2
"246",2
"247",2
"248",1
"249",2
"250",1
"251",2
"252",2
"253",1
"254",2
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",2
"265",1
"266",2
"267",2
"268",2
"269",1
"270",2
"271",2
"272",1
"273",1
"274",1
"275",2
"276",2
"277",2
"278",2
"279",2
"280",2
"281",2
"282",2
"283",1
"284",1
"285",2
"286",1
"287",2
"288",1
"289",2
"290",2
"291",1
"292",2
"293",2
"294",2
"295",1
"296",1
"297",1
"298",2
"299",2
"300",2
"301",2
"302",1
"303",1
"304",2
"305",1
"306",2
"307",1
"308",2
"309",2
"310",1
"311",1
"312",2
"313",1
"314",1
"315",1
"316",2
"317",2
"318",2
"319",1
"320",2
"321",1
"322",1
"323",2
"324",2
"325",2
"326",1
"327",1
"328",2
"329",1
"330",1
"331",2
"332",2
"333",2
"334",1
"335",1
"336",2
"337",2
"338",1
"339",1
"340",2
"341",1
"342",2
"343",1
"344",2
"345",2
"346",2
"347",2
"348",1
"349",1
"350",2
"351",1
"352",1
"353",2
"354",2
"355",1
"356",1
"357",1
"358",2
"359",1
"360",1
"361",1
"362",1
"363",1
"364",2
"365",1
"366",2
"367",1
"368",1
"369",2
"370",2
"371",2
"372",1
"373",1
"374",2
"375",1
"376",2
"377",2
"378",1
"379",1
"380",2
"381",2
"382",1
"383",2
"384",2
"385",2
"386",1
"387",2
"388",2
"389",2
"390",2
"391",1
"392",2
"393",2
"394",2
"395",1
"396",2
"397",2
"398",1
"399",1
"400",2
"401",2
"402",2
"403",1
"404",2
"405",2
"406",2
"407",1
"408",2
"409",2
"410",1
"411",1
"412",2
"413",2
"414",1
"415",1
"416",1
"417",2
"418",2
"419",2
"420",1
"421",2
"422",2
"423",1
"424",2
"425",1
"426",1
"427",2
"428",1
"429",1
"430",2
"431",2
"432",1
"433",1
"434",1
"435",2
"436",2
"437",2
"438",2
"439",1
"440",2
"441",2
"442",2
"443",1
"444",2
"445",1
"446",2
"447",2
"448",1
"449",1
"450",1
"451",1
"452",1
