"","x"
"1",1
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",1
"9",1
"10",2
"11",1
"12",1
"13",2
"14",2
"15",1
"16",2
"17",2
"18",2
"19",2
"20",1
"21",2
"22",1
"23",1
"24",1
"25",1
"26",2
"27",2
"28",1
"29",1
"30",2
"31",2
"32",1
"33",1
"34",1
"35",1
"36",1
"37",2
"38",2
"39",2
"40",2
"41",2
"42",1
"43",2
"44",1
"45",1
"46",1
"47",2
"48",1
"49",1
"50",1
"51",2
"52",1
"53",2
"54",1
"55",2
"56",2
"57",1
"58",2
"59",2
"60",1
"61",1
"62",1
"63",1
"64",2
"65",2
"66",1
"67",1
"68",1
"69",1
"70",1
"71",2
"72",2
"73",2
"74",2
"75",1
"76",1
"77",1
"78",2
"79",2
"80",2
"81",2
"82",1
"83",1
"84",2
"85",2
"86",2
"87",1
"88",2
"89",2
"90",2
"91",1
"92",2
"93",1
"94",2
"95",2
"96",2
"97",2
"98",1
"99",1
"100",2
"101",2
"102",2
"103",2
"104",1
"105",1
"106",2
"107",1
"108",2
"109",1
"110",2
"111",2
"112",2
"113",2
"114",2
"115",1
"116",1
"117",1
"118",2
"119",2
"120",1
"121",2
"122",1
"123",2
"124",2
"125",2
"126",2
"127",2
"128",1
"129",1
"130",2
"131",2
"132",2
"133",1
"134",2
"135",2
"136",1
"137",2
"138",2
"139",2
"140",2
"141",2
"142",1
"143",1
"144",2
"145",2
"146",1
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",1
"154",2
"155",2
"156",1
"157",1
"158",1
"159",2
"160",1
"161",1
"162",1
"163",2
"164",1
"165",1
"166",1
"167",2
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",2
"181",1
"182",1
"183",2
"184",1
"185",2
"186",1
"187",1
"188",2
"189",1
"190",2
"191",2
"192",1
"193",1
"194",2
"195",2
"196",1
"197",1
"198",2
"199",1
"200",2
"201",1
"202",2
"203",2
"204",1
"205",2
"206",1
"207",1
"208",2
"209",2
"210",2
"211",1
"212",1
"213",2
"214",1
"215",1
"216",2
"217",1
"218",1
"219",1
"220",1
"221",2
"222",2
"223",2
"224",2
"225",2
"226",1
"227",2
"228",1
"229",1
"230",2
"231",1
"232",1
"233",1
"234",2
"235",1
"236",2
"237",1
"238",1
"239",1
"240",1
"241",2
"242",2
"243",2
"244",2
"245",1
"246",2
"247",1
"248",2
"249",2
"250",1
"251",2
"252",2
"253",2
"254",1
"255",2
"256",2
"257",1
"258",2
"259",2
"260",2
"261",1
"262",1
"263",2
"264",1
"265",1
"266",1
"267",1
"268",2
"269",2
"270",2
"271",2
"272",1
"273",1
"274",2
"275",2
"276",2
"277",1
"278",2
"279",2
"280",2
"281",2
"282",2
"283",2
"284",1
"285",1
"286",2
"287",2
"288",1
"289",1
"290",2
"291",1
"292",2
"293",2
"294",2
"295",2
"296",1
"297",1
"298",1
"299",2
"300",1
"301",1
"302",2
"303",1
"304",1
"305",1
"306",2
"307",1
"308",2
"309",1
"310",1
"311",1
"312",2
"313",1
"314",1
"315",1
"316",2
"317",1
"318",1
"319",1
"320",1
"321",2
"322",1
"323",2
"324",2
"325",2
"326",2
"327",2
"328",1
"329",1
"330",1
"331",2
"332",1
"333",1
"334",1
"335",2
"336",2
"337",2
"338",2
"339",1
"340",1
"341",2
"342",2
"343",1
"344",2
"345",1
"346",1
"347",1
"348",1
"349",2
"350",1
"351",2
"352",2
"353",1
"354",1
"355",1
"356",1
"357",2
"358",2
"359",2
"360",2
"361",1
"362",2
"363",2
"364",1
"365",2
"366",2
"367",1
"368",2
"369",1
"370",1
"371",1
"372",2
"373",2
"374",2
"375",2
"376",1
"377",1
"378",1
"379",2
"380",1
"381",2
"382",2
"383",1
"384",1
"385",1
"386",2
"387",2
"388",2
"389",2
"390",2
"391",2
"392",1
"393",2
"394",2
"395",1
"396",2
"397",2
"398",1
"399",1
"400",1
"401",1
"402",2
"403",2
"404",2
"405",1
"406",1
"407",2
"408",1
"409",2
"410",1
"411",2
"412",1
"413",1
"414",2
"415",2
"416",2
"417",1
"418",2
"419",1
"420",1
"421",2
"422",1
"423",1
"424",2
"425",2
"426",1
"427",1
"428",2
"429",1
"430",1
"431",2
"432",1
"433",1
"434",2
"435",2
"436",1
"437",1
"438",1
"439",1
"440",1
"441",2
"442",2
"443",2
"444",1
"445",2
"446",1
"447",2
"448",1
"449",2
"450",2
"451",1
"452",1
